热搜商品名             淘宝     京东    亚马逊    苏宁易购
贵州茅台               2388     2360     2398      2400
农夫山泉               32.8     36       35.8      32
苹果X                  6288     6299     6388      6088
vivoX20                1288     1199     1350      1260
机器学习               68       77       82        80
五年中考三年模拟       36       32.8     -         32
小米8                  2499     2499     2500      2460
python神经网络编程     52       49.8     48        50
喜羊羊与灰太狼动画全集  48      45       48        46
华为荣耀               2588     -        2599      2466
oppor9s                799      799      860       780
格力空调               2549     2549     2488      -
特仑苏                 60       68.8     68        60     
天线宝宝动画全集       199      189      166       -
电饭锅                 299      279      268       268
豆浆机                 488      499      468       466
习近平谈治国理政       120      120      128       120
空气净化器             2399     2298     2180      2288
加多宝                 36.80    35.60    38.00     36.00
美的冰箱               -        3899     3800      3888
